City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,76.6,73,24,15.68,few clouds
1,Darab,IR,28.7519,54.5444,58.55,43,0,2.51,clear sky
2,Longyearbyen,SJ,78.2186,15.6401,12.04,67,40,28.77,scattered clouds
3,Semirom,IR,31.4167,51.5667,37.6,76,100,1.23,overcast clouds
4,Chokurdakh,RU,70.6333,147.9167,-31.68,99,100,0.58,overcast clouds
5,New Norfolk,AU,-42.7826,147.0587,67.5,38,0,2.71,clear sky
6,Castro,BR,-24.7911,-50.0119,63.73,75,1,0.78,clear sky
7,Lima,PE,-12.0432,-77.0282,64.65,77,20,12.66,few clouds
8,Albany,US,42.6001,-73.9662,27.25,66,5,8.95,clear sky
9,Hithadhoo,MV,-0.6,73.0833,81.68,71,97,17.2,overcast clouds
10,Kamenka,RU,51.3223,42.7678,36.75,95,100,14.92,overcast clouds
11,Lugovoy,KZ,42.9472,72.7644,28.8,52,1,2.39,clear sky
12,Maragogi,BR,-9.0122,-35.2225,79.48,74,100,10.89,overcast clouds
13,Mount Gambier,AU,-37.8333,140.7667,67.51,40,9,7.78,clear sky
14,Astana,KZ,51.1801,71.446,1.35,85,0,8.95,clear sky
15,Punta Arenas,CL,-53.15,-70.9167,53.71,54,90,11.5,overcast clouds
16,Mar Del Plata,AR,-38.0023,-57.5575,61.74,93,100,17.67,overcast clouds
17,Portland,US,45.5234,-122.6762,61.38,88,90,9.22,overcast clouds
18,Hobart,AU,-42.8794,147.3294,67.86,45,20,5.75,few clouds
19,Vila Velha,BR,-20.3297,-40.2925,75.15,78,0,9.22,clear sky
20,Saskylakh,RU,71.9167,114.0833,-3.87,93,98,10.27,overcast clouds
21,Port Alfred,ZA,-33.5906,26.891,66.07,71,96,9.82,overcast clouds
22,Inyonga,TZ,-6.7167,32.0667,66.92,73,91,3.67,overcast clouds
23,Leningradskiy,RU,69.3833,178.4167,-19.93,90,8,9.51,clear sky
24,Cervo,ES,43.6702,-7.4101,49.3,67,100,18.81,overcast clouds
25,Hilo,US,19.7297,-155.09,78.53,65,40,6.91,scattered clouds
26,Shimoni,KE,-4.6476,39.3817,78.91,81,23,5.06,few clouds
27,Jamestown,US,42.097,-79.2353,31.32,93,90,8.05,light snow
28,Ushuaia,AR,-54.8,-68.3,47.86,66,75,16.11,light rain
29,Sussex,US,41.1834,-74.6663,35.08,64,100,5.41,overcast clouds
30,Bluff,NZ,-46.6,168.3333,54.39,55,1,5.68,clear sky
31,Saint George,US,37.1041,-113.5841,57.79,19,1,0.0,clear sky
