City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Arraial Do Cabo,BR,2021-11-25 23:16:40,-22.9661,-42.0278,73.36,83,0,11.5
1,Ushuaia,AR,2021-11-25 23:17:57,-54.8,-68.3,42.46,70,40,23.02
2,Sorland,NO,2021-11-25 23:17:57,67.667,12.6934,34.0,42,100,10.18
3,Barrow,US,2021-11-25 23:16:54,71.2906,-156.7887,-9.38,77,20,16.11
4,Kanye,BW,2021-11-25 23:17:58,-24.9667,25.3327,60.26,73,0,24.65
5,Rikitea,PF,2021-11-25 23:17:58,-23.1203,-134.9692,76.57,75,8,10.76
6,Albany,US,2021-11-25 23:14:04,42.6001,-73.9662,41.27,70,100,1.95
7,Naze,JP,2021-11-25 23:17:59,28.3667,129.4833,59.92,63,100,6.82
8,Ucluelet,CA,2021-11-25 23:13:16,48.9329,-125.5528,53.1,94,100,1.01
9,Vaini,TO,2021-11-25 23:18:00,-21.2,-175.2,87.96,79,75,6.91
10,Newport,GB,2021-11-25 23:15:10,51.5877,-2.9984,45.86,84,96,10.69
11,Upernavik,GL,2021-11-25 23:18:01,72.7868,-56.1549,22.37,76,100,10.4
12,Nome,US,2021-11-25 23:15:25,64.5011,-165.4064,-7.53,71,1,5.75
13,Busselton,AU,2021-11-25 23:18:02,-33.65,115.3333,63.09,64,86,11.61
14,Hilo,US,2021-11-25 23:14:20,19.7297,-155.09,73.8,93,90,4.61
15,Faanui,PF,2021-11-25 23:18:02,-16.4833,-151.75,82.24,74,7,18.12
16,Mehamn,NO,2021-11-25 23:18:03,71.0357,27.8492,19.35,70,100,10.11
17,Hasaki,JP,2021-11-25 23:18:04,35.7333,140.8333,50.4,56,0,5.06
18,Butaritari,KI,2021-11-25 23:18:04,3.0707,172.7902,82.72,72,89,16.46
19,Hearst,CA,2021-11-25 23:18:05,49.6835,-83.6665,7.05,91,100,8.52
20,East London,ZA,2021-11-25 23:18:05,-33.0153,27.9116,63.45,78,100,16.31
21,Zheleznogorsk,RU,2021-11-25 23:18:06,52.331,35.3711,29.53,86,14,15.19
22,Yulara,AU,2021-11-25 23:18:06,-25.2406,130.9889,66.04,59,0,12.66
23,Khatanga,RU,2021-11-25 23:18:07,71.9667,102.5,-12.95,99,99,3.62
24,Alenquer,BR,2021-11-25 23:18:08,-1.9417,-54.7383,80.94,76,99,2.91
25,Calafell,ES,2021-11-25 23:18:08,41.2,1.5683,50.38,88,36,8.99
26,Mitsamiouli,KM,2021-11-25 23:18:08,-11.3847,43.2844,79.3,76,23,6.55
27,Saint-Philippe,RE,2021-11-25 23:18:09,-21.3585,55.7679,78.39,82,52,3.36
28,Fortuna,US,2021-11-25 23:18:09,40.5982,-124.1573,61.86,70,1,0.0
29,Songkhla,TH,2021-11-25 23:18:10,6.8333,100.6667,75.25,98,100,2.8
30,Benjamin Aceval,PY,2021-11-25 23:18:10,-24.9667,-57.5667,77.59,92,98,10.47
31,Avarua,CK,2021-11-25 23:18:11,-21.2078,-159.775,82.45,78,4,9.22
32,Anloga,GH,2021-11-25 23:18:12,5.7947,0.8973,82.56,79,21,10.09
33,Port-Gentil,GA,2021-11-25 23:18:12,-0.7193,8.7815,79.7,80,95,3.04
34,Souillac,MU,2021-11-25 23:18:13,-20.5167,57.5167,75.58,83,40,3.44
35,Longyearbyen,SJ,2021-11-25 23:18:13,78.2186,15.6401,12.04,57,40,18.41
36,Berkak,NO,2021-11-25 23:18:14,62.825,10.0118,25.43,93,100,5.06
37,Husavik,IS,2021-11-25 23:18:14,66.0449,-17.3389,30.11,92,98,25.32
38,Mahanoro,MG,2021-11-25 23:18:15,-19.9,48.8,74.5,94,100,13.78
39,Panjab,AF,2021-11-25 23:18:15,34.388,67.0233,26.15,76,17,3.91
40,Norman Wells,CA,2021-11-25 23:18:16,65.282,-126.8329,-16.56,69,90,6.91
41,Tuatapere,NZ,2021-11-25 23:18:16,-46.1333,167.6833,52.38,96,100,5.21
42,Saldanha,ZA,2021-11-25 23:18:17,-33.0117,17.9442,66.42,57,1,16.24
43,Chuy,UY,2021-11-25 23:18:17,-33.6971,-53.4616,65.07,92,99,2.51
44,Carnarvon,AU,2021-11-25 23:18:18,-24.8667,113.6333,78.87,34,0,5.75
45,Sao Miguel,BR,2021-11-25 23:18:18,-5.4667,-35.3667,81.37,80,46,12.08
46,Camacha,PT,2021-11-25 23:18:19,33.0833,-16.3333,60.22,63,75,11.5
47,Coquimbo,CL,2021-11-25 23:18:19,-29.9533,-71.3436,60.53,82,75,8.05
48,Thompson,CA,2021-11-25 23:18:20,55.7435,-97.8558,-3.84,77,75,2.3
49,Ossora,RU,2021-11-25 23:18:20,59.2353,163.0719,10.65,85,100,12.95
50,Shangrao,CN,2021-11-25 23:19:21,28.4532,117.9686,45.66,74,0,2.57
51,Sosva,RU,2021-11-25 23:19:21,59.1766,61.8558,8.87,93,50,7.11
52,Punta Arenas,CL,2021-11-25 23:15:31,-53.15,-70.9167,48.31,53,40,24.16
53,Bengkulu,ID,2021-11-25 23:19:22,-3.8004,102.2655,76.51,84,85,3.42
